,msno,song_id,source_system_tab,source_screen_name,source_type,target,song_length,artist_name,composer,lyricist,language,genre_id,city,bd,gender,registered_via,registration_init_time,expiration_date
0,952,1689,3,13,7,0,191738,551,1622,1459,3.0,['465'],15,18,1,4,20160106,20170907
1,952,322,0,10,5,0,326243,1477,1386,1259,3.0,['458'],15,18,1,4,20160106,20170907
2,952,1824,3,7,3,1,219193,108,194,175,52.0,['1609'],15,18,1,4,20160106,20170907
3,952,1500,3,7,3,1,222197,108,195,176,52.0,['1609'],15,18,1,4,20160106,20170907
4,952,878,3,7,3,0,307200,1069,2388,2405,3.0,['465'],15,18,1,4,20160106,20170907
5,952,612,3,7,3,1,275136,1197,2083,1838,3.0,['465'],15,18,1,4,20160106,20170907
6,952,1801,3,7,3,0,245342,1463,2533,2484,3.0,['465'],15,18,1,4,20160106,20170907
7,952,932,3,7,3,1,239177,1099,1931,2532,3.0,['465'],15,18,1,4,20160106,20170907
8,952,247,3,7,3,1,189384,684,1148,583,31.0,['465'],15,18,1,4,20160106,20170907
9,952,1605,3,7,3,0,268016,1266,2288,2246,3.0,['465'],15,18,1,4,20160106,20170907
10,952,3168,3,7,3,0,267598,1197,1872,1793,3.0,['465'],15,18,1,4,20160106,20170907
11,952,91,3,7,3,1,250357,775,2424,2387,3.0,['465'],15,18,1,4,20160106,20170907
12,952,69,3,7,3,1,271673,889,1573,1459,3.0,['465'],15,18,1,4,20160106,20170907
13,952,3319,3,7,3,1,205426,970,1657,2108,3.0,['465'],15,18,1,4,20160106,20170907
14,952,407,3,7,3,0,265822,775,2424,2387,3.0,['465'],15,18,1,4,20160106,20170907
15,952,169,3,7,3,1,263732,970,1567,1656,3.0,['465'],15,18,1,4,20160106,20170907
16,952,1632,3,7,3,1,234579,1463,2533,2484,3.0,['465'],15,18,1,4,20160106,20170907
17,952,3582,3,7,3,0,246491,834,1674,1555,3.0,['465'],15,18,1,4,20160106,20170907
18,952,2208,3,7,3,1,248352,775,2424,2387,3.0,['458'],15,18,1,4,20160106,20170907
19,952,3694,3,7,3,0,273345,1043,1985,1906,3.0,['465'],15,18,1,4,20160106,20170907
20,952,890,3,7,3,0,210912,591,754,687,52.0,['465'],15,18,1,4,20160106,20170907
21,952,2426,3,7,3,0,226847,1374,2016,1657,3.0,['465'],15,18,1,4,20160106,20170907
22,952,2101,3,7,3,1,268329,775,1902,2387,3.0,['465'],15,18,1,4,20160106,20170907
23,952,1755,3,7,3,1,266553,1069,2388,2353,3.0,['458'],15,18,1,4,20160106,20170907
24,952,1100,3,7,3,0,166974,256,564,497,31.0,['465'],15,18,1,4,20160106,20170907
25,952,2369,3,7,3,1,246595,20,1636,1942,3.0,['465'],15,18,1,4,20160106,20170907
26,952,2500,0,13,5,0,246491,1497,2595,2549,3.0,['465'],15,18,1,4,20160106,20170907
27,952,61,3,7,3,1,187768,193,496,1143,31.0,['444'],15,18,1,4,20160106,20170907
28,952,1347,3,7,3,0,251402,1107,1435,1332,3.0,['458'],15,18,1,4,20160106,20170907
29,952,1530,3,7,3,1,190876,381,1260,1162,52.0,['465'],15,18,1,4,20160106,20170907
30,952,2559,3,7,3,1,246778,253,192,423,31.0,['921'],15,18,1,4,20160106,20170907
31,952,819,3,7,3,1,233586,634,65,54,52.0,['1609'],15,18,1,4,20160106,20170907
32,952,2944,3,7,3,0,307513,901,1806,1705,3.0,['465'],15,18,1,4,20160106,20170907
33,952,1628,3,7,3,0,271882,889,1573,1459,3.0,['465'],15,18,1,4,20160106,20170907
34,952,3495,3,7,3,1,244672,489,1614,1499,52.0,['465'],15,18,1,4,20160106,20170907
35,952,867,3,7,3,1,222040,338,2630,2583,31.0,['921'],15,18,1,4,20160106,20170907
36,952,1752,3,7,3,0,236042,219,1279,1180,31.0,['465'],15,18,1,4,20160106,20170907
37,952,118,3,7,3,0,196754,532,765,698,31.0,['444'],15,18,1,4,20160106,20170907
38,952,438,3,7,3,1,201038,219,440,396,31.0,['465'],15,18,1,4,20160106,20170907
39,952,959,3,7,3,0,247144,256,563,497,31.0,['465'],15,18,1,4,20160106,20170907
40,952,1050,3,7,3,1,195317,193,497,1144,31.0,['444'],15,18,1,4,20160106,20170907
41,952,691,3,7,3,0,175427,401,409,363,52.0,['465'],15,18,1,4,20160106,20170907
42,8,1689,3,7,4,1,191738,551,1622,1459,3.0,['465'],1,16,1,9,20080223,20171108
43,8,322,0,10,5,1,326243,1477,1386,1259,3.0,['458'],1,16,1,9,20080223,20171108
44,8,878,0,2,5,1,307200,1069,2388,2405,3.0,['465'],1,16,1,9,20080223,20171108
45,8,1954,0,10,5,1,281077,405,901,840,3.0,['465'],1,16,1,9,20080223,20171108
46,8,3851,0,10,5,0,264150,1252,716,365,3.0,['458'],1,16,1,9,20080223,20171108
47,8,312,0,2,5,1,275017,676,2089,2112,3.0,['465'],1,16,1,9,20080223,20171108
48,8,243,0,10,5,1,230976,743,502,447,3.0,['458'],1,16,1,9,20080223,20171108
49,8,1678,0,10,5,0,225559,1142,240,590,31.0,['921'],1,16,1,9,20080223,20171108
50,8,894,0,2,5,1,233232,684,445,403,31.0,['921'],1,16,1,9,20080223,20171108
51,8,247,0,2,5,1,189384,684,1148,583,31.0,['465'],1,16,1,9,20080223,20171108
52,8,2830,0,10,5,0,245237,223,438,396,31.0,['465'],1,16,1,9,20080223,20171108
53,8,803,3,8,3,1,250775,847,1714,1805,3.0,['458'],1,16,1,9,20080223,20171108
54,8,3285,0,2,5,1,202318,1194,2502,1747,3.0,"['465', '1259']",1,16,1,9,20080223,20171108
55,8,3728,1,10,5,0,216084,970,1695,1584,3.0,['465'],1,16,1,9,20080223,20171108
56,8,3088,3,7,4,1,194168,1334,1115,1033,3.0,['465'],1,16,1,9,20080223,20171108
57,8,3169,0,10,5,1,237557,64,1280,1182,31.0,['465'],1,16,1,9,20080223,20171108
58,8,664,3,7,3,1,263732,847,1714,1599,3.0,['458'],1,16,1,9,20080223,20171108
59,8,3745,0,13,5,1,250357,849,1717,1601,3.0,['458'],1,16,1,9,20080223,20171108
60,8,1881,0,10,5,1,283324,779,660,587,3.0,['465'],1,16,1,9,20080223,20171108
61,8,2865,0,2,5,1,274285,1417,1872,1767,3.0,['465'],1,16,1,9,20080223,20171108
62,8,1920,1,10,5,0,245342,970,2488,1996,3.0,['465'],1,16,1,9,20080223,20171108
63,8,407,0,10,5,1,265822,775,2424,2387,3.0,['465'],1,16,1,9,20080223,20171108
64,8,3113,0,10,5,0,291596,790,1924,1656,3.0,['465'],1,16,1,9,20080223,20171108
65,8,1191,0,2,5,1,290168,905,1985,1906,3.0,['458'],1,16,1,9,20080223,20171108
66,8,1632,0,2,5,1,234579,1463,2533,2484,3.0,['465'],1,16,1,9,20080223,20171108
67,8,3753,3,7,4,1,291631,1170,1764,1651,3.0,['1259'],1,16,1,9,20080223,20171108
68,8,1486,0,10,5,0,227056,65,441,397,31.0,['465'],1,16,1,9,20080223,20171108
69,8,2251,3,7,3,1,210102,1194,2502,2043,3.0,"['465', '1259']",1,16,1,9,20080223,20171108
70,8,2402,1,6,5,1,237165,194,398,357,3.0,['458'],1,16,1,9,20080223,20171108
71,8,2482,0,2,5,1,205224,684,1147,583,31.0,['465'],1,16,1,9,20080223,20171108
72,8,1453,0,10,5,1,324940,117,1306,1197,52.0,"['139', '125', '109']",1,16,1,9,20080223,20171108
73,8,3694,0,2,5,1,273345,1043,1985,1906,3.0,['465'],1,16,1,9,20080223,20171108
74,8,3577,3,7,3,1,263941,1107,1435,26,3.0,['458'],1,16,1,9,20080223,20171108
75,8,890,0,2,5,0,210912,591,754,687,52.0,['465'],1,16,1,9,20080223,20171108
76,8,3386,3,8,3,1,236773,1334,2338,2298,3.0,['2022'],1,16,1,9,20080223,20171108
77,8,2703,3,7,3,1,236042,796,1616,1501,3.0,['458'],1,16,1,9,20080223,20171108
